BranchCode,SiteCode,FleetCode,CustomerCode,ModelCode,AssetName,SerialNumber,RegistrationCounter,ComponentCode,ModifierCode,TaskTypeCode,TaskCounterCode,StrategyTaskDescription,FrequencyValue,LifeToDateValue,PrimaryPartNumberCode,ActualPartNumberCode,SourceOfSupplyCode,StrategyUOMCode,StrategyUsageValue,LastStrategyUsageValue,StrategyDate,LastStrategyDate,SalesStatusCode,SalesLostReasonCode,SalesStatusCommentsNote,PurchaseOrderNumber
,,,,,,,217040,,,,,Pump Fuel Transfer,5000.0,6697.0,,,,H,,14680.0,,,,,,
,,,,,,,217040,,,,,Fuel Transfer Pump,5000.0,6697.0,,,,H,,14680.0,,,,,,
,,,,,,,217040,,,,,Fuel Injectors,5000.0,6697.0,,,,H,,14680.0,,,,,,
,,,,,,,217040,,,,,Water Pump Engine,5000.0,6697.0,,,,H,,14680.0,,,,,,
,,,,,,,217040,,,,,ThermostatsRegulators,5000.0,6697.0,,,,H,,14680.0,,,,,,
,,,,,,,217040,,,,,Coolant Engine,5000.0,6684.0,,,,H,,14680.0,,,,,,
,,,,,,,217040,,,,,Radiator Engine,5000.0,4623.0,,,,H,,16749.0,,,,,,
,,,,,,,217040,,,,,Fan Cooling System,5000.0,6697.0,,,,H,,14680.0,,,,,,
,,,,,,,217040,,,,,Engine Assembly Caterpillar C32,5000.0,6697.0,,,,H,,14680.0,,,,,,
,,,,,,,217040,,,,,Starter Motor Upper,5000.0,13468.0,,,,H,,7909.0,,,,,,
,,,,,,,217040,,,,,Starter Motor Lower,5000.0,13468.0,,,,H,,7909.0,,,,,,
,,,,,,,217040,,,,,Electrical Harnesses,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Alternator 24V,5000.0,13468.0,,,,H,,7909.0,,,,,,
,,,,,,,217040,,,,,Service Brake RH Rear,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Service Brake RH Front,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Service Brake LH Rear,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Service Brake LH Front,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Park Brake Assembly,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Pump Brake,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Brake System Hoses,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Accumulator Brake Right,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Accumulator Brake Left,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Caterpillar 993K Wheel Loader WL6103,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Actuator Brake CAS,5000.0,7003.0,,,,H,,16292.0,,,,,,
,,,,,,,217040,,,,,WL6102 FUEL COOLER,5000.0,3697.0,,,,H,,19586.0,,,,,,
,,,,,,,217040,,,,,Hydraulic Tank,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Lube & Mechanical Services,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Transmission Transfer Case,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Torque Converter,5000.0,8781.0,,,,H,,14502.0,,,,,,
,,,,,,,217040,,,,,Pump Transmission,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Transmission Oil Cooler,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Trans System Hoses Lines and Fittings,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Transmission,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Linkage,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Lift Arm,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Lever,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Articulation,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Operators Seat,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Seat Belt,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Cabin Pressurisation System,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Air Conditioning Compressor,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Air Conditioning System,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Bucket Wear Elements GET,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Bucket,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Cylinder Steering RH,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Cylinder Steering LH,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Pump Secondary Steering,5000.0,6689.0,,,,H,,16594.0,,,,,,
,,,,,,,217040,,,,,Pumps Steering Centre,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Oil Cooler Steering,5000.0,23283.0,,,,H,,0.0,,,,,,
